Strain,PlantNumber,Branch,Week,Score
PBS,1,1,1,0
PBS,1,1,2,0
PBS,1,1,3,0
PBS,1,1,4,0
PBS,1,1,5,0
PBS,1,1,6,0
PBS,1,1,7,0
PBS,1,1,8,0
PBS,1,1,9,0
PBS,2,1,1,0
PBS,2,1,2,0
PBS,2,1,3,0
PBS,2,1,4,0
PBS,2,1,5,0
PBS,2,1,6,0
PBS,2,1,7,0
PBS,2,1,8,0
PBS,2,1,9,0
PBS,3,1,1,0
PBS,3,1,2,0
PBS,3,1,3,0
PBS,3,1,4,0
PBS,3,1,5,0
PBS,3,1,6,1
PBS,3,1,7,1
PBS,3,1,8,1
PBS,3,1,9,1
PBS,4,1,1,0
PBS,4,1,2,0
PBS,4,1,3,0
PBS,4,1,4,0
PBS,4,1,5,0
PBS,4,1,6,0
PBS,4,1,7,0
PBS,4,1,8,0
PBS,4,1,9,0
PBS,5,1,1,0
PBS,5,1,2,0
PBS,5,1,3,0
PBS,5,1,4,0
PBS,5,1,5,0
PBS,5,1,6,0
PBS,5,1,7,0
PBS,5,1,8,0
PBS,5,1,9,0
AlmaEm3,1,1,1,1
AlmaEm3,1,1,2,3
AlmaEm3,1,1,3,4
AlmaEm3,1,1,4,5
AlmaEm3,1,1,5,6
AlmaEm3,1,1,6,6
AlmaEm3,1,1,7,6
AlmaEm3,1,1,8,7
AlmaEm3,1,1,9,7
AlmaEm3,2,1,1,2
AlmaEm3,2,1,2,3
AlmaEm3,2,1,3,4
AlmaEm3,2,1,4,4
AlmaEm3,2,1,5,5
AlmaEm3,2,1,6,4
AlmaEm3,2,1,7,5
AlmaEm3,2,1,8,6
AlmaEm3,2,1,9,7
AlmaEm3,3,1,1,1
AlmaEm3,3,1,2,3
AlmaEm3,3,1,3,3
AlmaEm3,3,1,4,5
AlmaEm3,3,1,5,6
AlmaEm3,3,1,6,6
AlmaEm3,3,1,7,6
AlmaEm3,3,1,8,7
AlmaEm3,3,1,9,7
AlmaEm3,4,1,1,1
AlmaEm3,4,1,2,2
AlmaEm3,4,1,3,4
AlmaEm3,4,1,4,5
AlmaEm3,4,1,5,6
AlmaEm3,4,1,6,6
AlmaEm3,4,1,7,6
AlmaEm3,4,1,8,7
AlmaEm3,4,1,9,7
AlmaEm3,5,1,1,2
AlmaEm3,5,1,2,3
AlmaEm3,5,1,3,4
AlmaEm3,5,1,4,5
AlmaEm3,5,1,5,6
AlmaEm3,5,1,6,6
AlmaEm3,5,1,7,5
AlmaEm3,5,1,8,7
AlmaEm3,5,1,9,7
XYL468,1,1,1,0
XYL468,1,1,2,0
XYL468,1,1,3,0
XYL468,1,1,4,0
XYL468,1,1,5,0
XYL468,1,1,6,0
XYL468,1,1,7,0
XYL468,1,1,8,0
XYL468,1,1,9,0
XYL468,2,1,1,0
XYL468,2,1,2,0
XYL468,2,1,3,0
XYL468,2,1,4,0
XYL468,2,1,5,0
XYL468,2,1,6,0
XYL468,2,1,7,0
XYL468,2,1,8,0
XYL468,2,1,9,0
XYL468,3,1,1,0
XYL468,3,1,2,0
XYL468,3,1,3,0
XYL468,3,1,4,1
XYL468,3,1,5,0
XYL468,3,1,6,0
XYL468,3,1,7,1
XYL468,3,1,8,1
XYL468,3,1,9,1
XYL468,4,1,1,0
XYL468,4,1,2,0
XYL468,4,1,3,0
XYL468,4,1,4,0
XYL468,4,1,5,0
XYL468,4,1,6,0
XYL468,4,1,7,1
XYL468,4,1,8,0
XYL468,4,1,9,0
XYL468,5,1,1,0
XYL468,5,1,2,0
XYL468,5,1,3,0
XYL468,5,1,4,1
XYL468,5,1,5,1
XYL468,5,1,6,0
XYL468,5,1,7,0
XYL468,5,1,8,0
XYL468,5,1,9,0
XYL468,6,1,1,0
XYL468,6,1,2,0
XYL468,6,1,3,0
XYL468,6,1,4,0
XYL468,6,1,5,0
XYL468,6,1,6,0
XYL468,6,1,7,0
XYL468,6,1,8,0
XYL468,6,1,9,0
XYL468,7,1,1,0
XYL468,7,1,2,0
XYL468,7,1,3,0
XYL468,7,1,4,0
XYL468,7,1,5,0
XYL468,7,1,6,0
XYL468,7,1,7,1
XYL468,7,1,8,0
XYL468,7,1,9,0
XYL2014,1,1,1,0
XYL2014,1,1,2,0
XYL2014,1,1,3,0
