Strain,PlantID,LeafID,PlateID,log10CFUpermg
PBS,1,1,1,-0.402524363
PBS,2,1,1,-0.114381274
PBS,3,1,1,-0.455822993
AlmaEm3,1,1,1,3.870413178
AlmaEm3,2,1,1,3.015024581
AlmaEm3,3,1,1,4.715337662
XYL468,1,1,1,2.430736842
XYL468,2,1,1,0.25428021
XYL468,3,1,1,0.297109546
XYL2014,1,1,1,4.769790216
XYL2014,2,1,1,4.287365611
XYL2014,3,1,1,4.949443756
TOS4,1,1,1,0.832443222
TOS4,2,1,1,0.411035555
TOS4,3,1,1,0.551614889
IVIA5387.2,1,1,1,5.082412958
IVIA5387.2,2,1,1,5.54925393
IVIA5387.2,3,1,1,5.254376396
CIST-18,1,1,1,0.243578653
CIST-18,2,1,1,1.044763477
CIST-18,3,1,1,0.52292037
IVIA11529,1,1,1,2.823426197
IVIA11529,2,1,1,3.833825347
IVIA11529,3,1,1,3.559801811
CFBP8356,1,1,1,0.531406639
CFBP8356,2,1,1,0.196306013
CFBP8356,3,1,1,-0.305604406
CFBP8073,1,1,1,2.237525971
CFBP8073,2,1,1,2.285703777
CFBP8073,3,1,1,2.756650865
IVIA5770,1,1,1,4.96371801
IVIA5770,2,1,1,2.080756503
IVIA5770,3,1,1,4.570687047
IVIA5235,1,1,1,0.8460563
IVIA5235,2,1,1,-0.698260637
IVIA5235,3,1,1,0.097361001
B3SN17-2,1,1,1,3.724454103
B3SN17-2,2,1,1,4.956327274
B3SN17-2,3,1,1,5.406087273
IVIA6629,1,1,1,1.18856077
IVIA6629,2,1,1,0.955252825
IVIA6629,3,1,1,0.250453468
XYL1966,1,1,1,2.314735986
XYL1966,2,1,1,2.519023133
XYL1966,3,1,1,1.647464423
CO33,1,1,1,2.988496927
CO33,2,1,1,3.229923355
CO33,3,1,1,3.684518071
AlmaReb1,1,1,1,3.92474334
AlmaReb1,2,1,1,3.394684998
AlmaReb1,3,1,1,4.431295635
Med1,1,1,1,4.581045792
Med1,2,1,1,4.687432865
Med1,3,1,1,2.465948294
AlmaReb3,1,1,1,4.727956293
AlmaReb3,2,1,1,3.026833384
AlmaReb3,3,1,1,4.037402014
PBS,1,2,1,0.366569089
PBS,2,2,1,0.571494913
PBS,3,2,1,0.044884469
AlmaEm3,1,2,1,4.679740862
AlmaEm3,2,2,1,2.889661727
AlmaEm3,3,2,1,4.274626869
XYL468,1,2,1,0.032285701
XYL468,2,2,1,0.028913053
XYL468,3,2,1,0.073132695
XYL2014,1,2,1,4.582449536
XYL2014,2,2,1,3.821553406
XYL2014,3,2,1,2.88349301
TOS4,1,2,1,1.213179869
TOS4,2,2,1,0.658666729
TOS4,3,2,1,0.119201988
IVIA5387.2,1,2,1,5.006437704
IVIA5387.2,2,2,1,5.664402945
IVIA5387.2,3,2,1,5.484953422
CIST-18,1,2,1,0.811165387
CIST-18,2,2,1,1.163348504
CIST-18,3,2,1,1.283656106
IVIA11529,1,2,1,4.41122034
IVIA11529,2,2,1,4.343166448
IVIA11529,3,2,1,4.531019626
CFBP8356,1,2,1,3.232033871
CFBP8356,2,2,1,1.865107149
CFBP8356,3,2,1,0.302398044
CFBP8073,1,2,1,2.75721789
CFBP8073,2,2,1,3.07658643
CFBP8073,3,2,1,2.643442964
IVIA5770,1,2,1,4.343827237
IVIA5770,2,2,1,4.610844747
IVIA5770,3,2,1,5.063168847
IVIA5235,1,2,1,1.058157841
IVIA5235,2,2,1,0.382460556
IVIA5235,3,2,1,0.239678903
B3SN17-2,1,2,1,4.450278038
B3SN17-2,2,2,1,4.444228093
B3SN17-2,3,2,1,4.971882103
IVIA6629,1,2,1,0.298519437
IVIA6629,2,2,1,0.658666729
IVIA6629,3,2,1,0.238384077
XYL1966,1,2,1,1.933263127
XYL1966,2,2,1,1.936340375
XYL1966,3,2,1,2.098924057
CO33,1,2,1,2.970990398
CO33,2,2,1,3.298513742
CO33,3,2,1,3.687526158
AlmaReb1,1,2,1,4.679962726
AlmaReb1,2,2,1,3.426837548
AlmaReb1,3,2,1,4.628699595
Med1,1,2,1,5.021627324
Med1,2,2,1,4.554045596
Med1,3,2,1,1.389156906
AlmaReb3,1,2,1,4.411389243
AlmaReb3,2,2,1,4.111635462
AlmaReb3,3,2,1,5.381969063
PBS,1,1,2,0.35979
PBS,2,1,2,0.08112
PBS,3,1,2,0.00701
AlmaEm3,1,1,2,4.44715
AlmaEm3,2,1,2,4.76729
AlmaEm3,3,1,2,4.72112
XYL468,1,1,2,0.42136
XYL468,2,1,2,0.27375
XYL468,3,1,2,0.58367
XYL2014,1,1,2,4.99439
XYL2014,2,1,2,4.97095
XYL2014,3,1,2,5.2556
TOS4,1,1,2,0.70318
TOS4,2,1,2,0.68753
TOS4,3,1,2,1.07454
IVIA5387.2,1,1,2,5.82939
IVIA5387.2,2,1,2,5.83016
IVIA5387.2,3,1,2,5.72588
CIST-18,1,1,2,0.83919
CIST-18,2,1,2,0.87841
CIST-18,3,1,2,0.75686
IVIA11529,1,1,2,3.39579
IVIA11529,2,1,2,3.74437
IVIA11529,3,1,2,3.34856
CFBP8356,1,1,2,1.0692
CFBP8356,2,1,2,0.33833
CFBP8356,3,1,2,0.52064
CFBP8073,1,1,2,2.54943
CFBP8073,2,1,2,2.59222
CFBP8073,3,1,2,2.57437
IVIA5770,1,1,2,5.94763
IVIA5770,2,1,2,4.84111
